Biomarker,Cond_Importance
RBD IgM,29.50343156
Nucleocapsid IgG,28.19617888
RBD IgA,9.473234586
RBD total Ig,9.230866209
Ethnicity,0
RBD_IgG,-3.480858199
S1..N.terminal.domain.Ig.P.N,-3.682287476
Sex,-4.785630651
Age,-8.090115171
