Biomarker,Cond_Importance
RBD IgA,47.94143582
RBD IgG,3.205255289
Sex,2.622475053
Spike IgA,1.253523045
Severity,0.001
Nucleocapsid IgG,-1.335286416
Ethnicity,-1.727850177
Spike IgG,-2.686600107
Age,-4.1203668
