Biomarker,Cond_Importance
Spike IgG,9.019875235
Spike IgM,5.788599434
RBD IgG,5.148673672
RBD IgA,3.977654639
RBD IgM,2.635242485
Nucleocapsid IgM,2.022020477
Nucleocapsid IgA,1.869376054
Nucleocapsid IgG,0.957489151
Spike IgA,0.516060912
Sex,-0.26961215
Age,-0.385495727
